country,countryLabel,capital,capitalLabel,flag,popolation,surface,unicode,map,linkcount
http://www.wikidata.org/entity/Q221,North Macedonia,http://www.wikidata.org/entity/Q384,Skopje,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20North%20Macedonia.svg,2075301,25713,🇲🇰,http://commons.wikimedia.org/wiki/Special:FilePath/North%20Macedonia%20on%20the%20globe%20%28Europe%20centered%29.svg,285
http://www.wikidata.org/entity/Q664,New Zealand,http://www.wikidata.org/entity/Q23661,Wellington,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20New%20Zealand.svg,4942500,268021,🇳🇿,http://commons.wikimedia.org/wiki/Special:FilePath/LocationNewZealand.png,285
http://www.wikidata.org/entity/Q664,New Zealand,http://www.wikidata.org/entity/Q23661,Wellington,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20New%20Zealand.svg,4942500,268021,🇳🇿,http://commons.wikimedia.org/wiki/Special:FilePath/NZL%20orthographic.svg,285
http://www.wikidata.org/entity/Q916,Angola,http://www.wikidata.org/entity/Q3897,Luanda,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Angola.svg,29784193,1246700,🇦🇴,http://commons.wikimedia.org/wiki/Special:FilePath/Angola%20on%20the%20globe%20%28Angola%20centered%29.svg,284
http://www.wikidata.org/entity/Q916,Angola,http://www.wikidata.org/entity/Q3897,Luanda,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Angola.svg,29784193,1246700,🇦🇴,http://commons.wikimedia.org/wiki/Special:FilePath/LocationAngola.svg,284
http://www.wikidata.org/entity/Q928,Philippines,http://www.wikidata.org/entity/Q1461,Manila,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Philippines.svg,104918090,343448,🇵🇭,http://commons.wikimedia.org/wiki/Special:FilePath/LocationPhilippines.png,284
http://www.wikidata.org/entity/Q928,Philippines,http://www.wikidata.org/entity/Q1461,Manila,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Philippines.svg,104918090,343448,🇵🇭,http://commons.wikimedia.org/wiki/Special:FilePath/Ph%20physical%20map.png,284
http://www.wikidata.org/entity/Q928,Philippines,http://www.wikidata.org/entity/Q1461,Manila,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Philippines.svg,104918090,343448,🇵🇭,http://commons.wikimedia.org/wiki/Special:FilePath/PHL%20orthographic.svg,284
http://www.wikidata.org/entity/Q711,Mongolia,http://www.wikidata.org/entity/Q23430,Ulaanbaatar,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Mongolia.svg,3075647,1566000,🇲🇳,http://commons.wikimedia.org/wiki/Special:FilePath/Mongolia%20%28orthographic%20projection%29.svg,284
http://www.wikidata.org/entity/Q711,Mongolia,http://www.wikidata.org/entity/Q23430,Ulaanbaatar,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Mongolia.svg,3075647,1566000,🇲🇳,http://commons.wikimedia.org/wiki/Special:FilePath/LocationMongolia.svg,284
http://www.wikidata.org/entity/Q236,Montenegro,http://www.wikidata.org/entity/Q23564,Podgorica,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Montenegro.svg,622359,13812,🇲🇪,http://commons.wikimedia.org/wiki/Special:FilePath/Europe-Montenegro.svg,283
http://www.wikidata.org/entity/Q236,Montenegro,http://www.wikidata.org/entity/Q23564,Podgorica,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Montenegro.svg,622359,13812,🇲🇪,http://commons.wikimedia.org/wiki/Special:FilePath/LocationMontenegro.svg,283
http://www.wikidata.org/entity/Q236,Montenegro,http://www.wikidata.org/entity/Q23564,Podgorica,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Montenegro.svg,622359,13812,🇲🇪,http://commons.wikimedia.org/wiki/Special:FilePath/Montenegro%20on%20the%20globe%20%28Europe%20centered%29.svg,283
http://www.wikidata.org/entity/Q235,Monaco,http://www.wikidata.org/entity/Q55115,City of Monaco,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Monaco.svg,38695,2.02,🇲🇨,http://commons.wikimedia.org/wiki/Special:FilePath/Location%20Monaco%20Europe.png,282
http://www.wikidata.org/entity/Q235,Monaco,http://www.wikidata.org/entity/Q55115,City of Monaco,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Monaco.svg,38695,2.02,🇲🇨,http://commons.wikimedia.org/wiki/Special:FilePath/LocationMonaco.svg,282
http://www.wikidata.org/entity/Q235,Monaco,http://www.wikidata.org/entity/Q55115,City of Monaco,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Monaco.svg,38695,2.02,🇲🇨,http://commons.wikimedia.org/wiki/Special:FilePath/Monaco%20on%20the%20globe%20%28Europe%20centered%29.svg,282
http://www.wikidata.org/entity/Q1016,Libya,http://www.wikidata.org/entity/Q3579,Tripoli,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Libya.svg,6678567,1759541,🇱🇾,http://commons.wikimedia.org/wiki/Special:FilePath/LocationLibya.svg,282
http://www.wikidata.org/entity/Q1016,Libya,http://www.wikidata.org/entity/Q3579,Tripoli,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Libya.svg,6678567,1759541,🇱🇾,http://commons.wikimedia.org/wiki/Special:FilePath/Libya%20%28orthographic%20projection%29.svg,282
http://www.wikidata.org/entity/Q27,Ireland,http://www.wikidata.org/entity/Q1761,Dublin,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ireland.svg,4761865,70273,🇮🇪,http://commons.wikimedia.org/wiki/Special:FilePath/EU-Ireland.svg,282
http://www.wikidata.org/entity/Q27,Ireland,http://www.wikidata.org/entity/Q1761,Dublin,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ireland.svg,4761865,70273,🇮🇪,http://commons.wikimedia.org/wiki/Special:FilePath/Ireland%20on%20the%20globe%20%28Europe%20centered%29.svg,282
http://www.wikidata.org/entity/Q114,Kenya,http://www.wikidata.org/entity/Q3870,Nairobi,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kenya.svg,48468138,581309,🇰🇪,http://commons.wikimedia.org/wiki/Special:FilePath/Kenya%20%28orthographic%20projection%29.svg,281
